Time,Rack,Treatment,Side,TillerPhotoRank,Tiller,Score,Type,dupTreatment,Notes
6,1,No Shelter,F,1,1,3,,,
6,1,No Shelter,F,2,2,2,,,
6,1,No Shelter,F,3,3,2,,,
6,1,No Shelter,F,4,4,2,,,
6,1,No Shelter,F,5,5,1,,,
6,1,No Shelter,F,6,6,2,,,
6,1,No Shelter,F,7,7,2,,,
6,1,No Shelter,F,8,8,2,,,No bleaching but two large cracks 
6,1,No Shelter,F,9,9,1,,,
6,1,No Shelter,F,10,10,2,,,"No bleaching, two large cracks "
6,1,No Shelter,B,1,1,1,,,
6,1,No Shelter,B,2,2,1,,,
6,1,No Shelter,B,3,3,1,,,
6,1,No Shelter,B,4,4,2,,,no bleaching but one very large crack
6,1,No Shelter,B,5,5,1,,,
6,1,No Shelter,B,6,6,2,,,
6,1,No Shelter,B,7,7,2,,,
6,1,No Shelter,B,8,8,1,,,
6,1,No Shelter,B,9,9,1,,,
6,1,No Shelter,B,10,10,1,,,
6,2,UVpass,F,1,1,3,,,
6,2,UVpass,F,2,2,2,,,
6,2,UVpass,F,3,3,1,,,
6,2,UVpass,F,4,4,1,,,
6,2,UVpass,F,5,5,3,,,
6,2,UVpass,F,6,6,1,,,
6,2,UVpass,F,7,7,2,,,
6,2,UVpass,F,8,8,2,,,
6,2,UVpass,F,9,9,1,,,
6,2,UVpass,F,10,10,3,,,
6,2,UVpass,B,1,1,2,,,
6,2,UVpass,B,2,2,2,,,
6,2,UVpass,B,3,3,1,,,
6,2,UVpass,B,4,4,1,,,
6,2,UVpass,B,5,5,1,,,
6,2,UVpass,B,6,6,1,,,
6,2,UVpass,B,7,7,1,,,
6,2,UVpass,B,8,8,1,,,
6,2,UVpass,B,9,9,1,,,
6,2,UVpass,B,10,10,1,,,
6,3,UVblock,F,1,1,2,,,
6,3,UVblock,F,2,2,2,,,
6,3,UVblock,F,3,3,2,,,
6,3,UVblock,F,4,4,1,,,
6,3,UVblock,F,5,5,1,,,
6,3,UVblock,F,6,6,2,,,
6,3,UVblock,F,7,7,3,,,
6,3,UVblock,F,8,8,2,,,
6,3,UVblock,F,9,9,2,,,
6,3,UVblock,F,10,10,1,,,
6,3,UVblock,B,1,1,3,,,
6,3,UVblock,B,2,2,2,,,
6,3,UVblock,B,3,3,1,,,
6,3,UVblock,B,4,4,1,,,
6,3,UVblock,B,5,5,2,,,
6,3,UVblock,B,6,6,1,,,
6,3,UVblock,B,7,7,2,,,"no bleaching, one large crack"
6,3,UVblock,B,8,8,2,,,
6,3,UVblock,B,9,9,3,,,
6,3,UVblock,B,10,10,1,,,
6,4,Shade,F,1,1,1,,,
6,4,Shade,F,2,2,1,,,
6,4,Shade,F,3,3,1,,,
6,4,Shade,F,4,4,1,,,
6,4,Shade,F,5,5,1,,,
6,4,Shade,F,6,6,1,,,
6,4,Shade,F,7,7,2,,,
6,4,Shade,F,8,8,3,,,
6,4,Shade,F,9,9,1,,,
6,4,Shade,F,10,10,3,,,
6,4,Shade,B,1,1,2,,,
6,4,Shade,B,2,2,1,,,
6,4,Shade,B,3,3,1,,,
6,4,Shade,B,4,4,1,,,
6,4,Shade,B,5,5,2,,,
6,4,Shade,B,6,6,1,,,
6,4,Shade,B,7,7,1,,,
6,4,Shade,B,8,8,1,,,
6,4,Shade,B,9,9,1,,,
6,4,Shade,B,10,10,2,,,
6,5,UVblock,F,1,1,3,,,
6,5,UVblock,F,2,2,1,,,
6,5,UVblock,F,3,3,2,,,
6,5,UVblock,F,4,4,2,,,no bleaching but large crack
6,5,UVblock,F,5,5,2,,,
6,5,UVblock,F,6,6,1,,,
6,5,UVblock,F,7,7,1,,,
6,5,UVblock,F,8,8,2,,,
6,5,UVblock,F,9,9,4,,,
6,5,UVblock,F,10,10,1,,,
6,5,UVblock,B,1,1,3,,,
6,5,UVblock,B,2,2,3,,,
6,5,UVblock,B,3,3,1,,,
6,5,UVblock,B,4,4,2,,,"large crack, mostly unbleached"
6,5,UVblock,B,5,5,2,,,
6,5,UVblock,B,6,6,2,,,
6,5,UVblock,B,7,7,1,,,
6,5,UVblock,B,8,8,2,,,
6,5,UVblock,B,9,9,1,,,
6,5,UVblock,B,10,10,2,,,
6,6,UVblock,F,1,1,3,,,
6,6,UVblock,F,2,2,1,,,
6,6,UVblock,F,3,3,3,,,
6,6,UVblock,F,4,4,1,,,
