SequenceInNotebook,SampleNum,Rack,Tiller,TillerID,DryMass,WetMass,Treatment,UVtreatment,Time,Diameter,CutLength
13,49,1,1,1-Jan,0.5487,0.6084,No Shelter,Ambient,18,5.16,34.15
25,97,1,2,2-Jan,0.2658,0.3078,No Shelter,Ambient,36,3.24,33.49
19,73,1,3,3-Jan,0.467,0.5277,No Shelter,Ambient,30,4.6,34.83
1,1,1,5,5-Jan,0.2512,0.2685,No Shelter,Ambient,6,3.02,27.99
7,25,1,9,9-Jan,0.271,0.2942,No Shelter,Ambient,12,3.41,38.03
34,10,10,1,1-Oct,0.5118,0.5351,Shade,Reduced,6,4.73,30.08
52,82,10,2,2-Oct,0.5335,0.5938,Shade,Reduced,30,5.61,31.74
58,106,10,3,3-Oct,0.2162,0.2518,Shade,Reduced,36,3.26,34.92
46,58,10,4,4-Oct,0.2169,0.2533,Shade,Reduced,18,3.25,32.89
40,34,10,6,6-Oct,0.3308,0.3615,Shade,Reduced,12,3.61,32.11
41,35,11,1,1-Nov,0.2588,0.2866,UVpass,Ambient,12,3.58,33.23
47,59,11,2,2-Nov,0.4038,0.4461,UVpass,Ambient,18,4.12,31.81
35,11,11,4,4-Nov,0.2939,0.3231,UVpass,Ambient,6,3.55,28.42
59,107,11,5,5-Nov,0.3189,0.3576,UVpass,Ambient,36,3.67,31.91
53,83,11,7,7-Nov,0.5297,0.5847,UVpass,Ambient,30,5.31,30.99
60,108,12,1,1-Dec,0.2783,0.3224,Shade,Reduced,36,3.9,33.29
54,84,12,2,2-Dec,0.3032,0.3498,Shade,Reduced,30,4.01,36.11
42,36,12,3,3-Dec,0.5071,0.5504,Shade,Reduced,12,4.74,30.57
36,12,12,7,7-Dec,0.5367,0.5621,Shade,Reduced,6,4.71,33.09
48,60,12,8,8-Dec,0.5324,0.5762,Shade,Reduced,18,5.16,31
73,61,13,1,13-1,0.6125,0.6677,No Shelter,Ambient,18,4.83,33.86
61,13,13,2,13-2,0.4247,0.4564,No Shelter,Ambient,6,4.03,31.89
67,37,13,3,13-3,0.4643,0.4921,No Shelter,Ambient,12,4.21,33.56
85,109,13,4,13-4,0.3767,0.4402,No Shelter,Ambient,36,4.01,32.71
79,85,13,5,13-5,0.8121,0.8963,No Shelter,Ambient,30,6,34.77
68,38,14,1,14-1,0.8209,0.8512,UVblock,Reduced,12,6.06,34.1
74,62,14,2,14-2,0.4558,0.507,UVblock,Reduced,18,4.84,35.87
62,14,14,3,14-3,0.3198,0.3408,UVblock,Reduced,6,3.69,32.44
86,110,14,4,14-4,0.4462,0.5048,UVblock,Reduced,36,4.78,30
80,86,14,9,14-9,0.5799,0.6479,UVblock,Reduced,30,4.97,32.16
81,87,15,1,15-1,0.3322,0.3881,No Shelter,Ambient,30,3.81,35.78
87,111,15,2,15-2,0.5808,0.6468,No Shelter,Ambient,36,5.82,31.75
75,63,15,3,15-3,0.4634,0.5021,No Shelter,Ambient,18,4.31,32.73
63,15,15,5,15-5,0.7093,0.7378,No Shelter,Ambient,6,5.7,32.07
69,39,15,6,15-6,0.3543,0.3885,No Shelter,Ambient,12,3.72,37.68
64,16,16,1,16-1,0.3146,0.3207,Shade,Reduced,6,3.38,38.09
82,88,16,2,16-2,0.254,0.2971,Shade,Reduced,30,3.31,32.89
